"Date and Time Run 1","Time (s) Run 1","Position (m) Run 1","Velocity (m/s) Run 1","Acceleration (m/s²) Run 1","Date and Time Run 2","Time (s) Run 2","Position (m) Run 2","Velocity (m/s) Run 2","Acceleration (m/s²) Run 2","Date and Time Run 3","Time (s) Run 3","Position (m) Run 3","Velocity (m/s) Run 3","Acceleration (m/s²) Run 3"
05/06/2022 02:33:21 pm,0.000,0.50,,,05/06/2022 02:36:13 pm,0.000,0.47,,,05/06/2022 02:36:52 pm,0.000,0.49,,
05/06/2022 02:33:21 pm,0.050,0.50,0.01,,05/06/2022 02:36:13 pm,0.050,0.48,0.26,,05/06/2022 02:36:52 pm,0.010,0.49,-0.24,
05/06/2022 02:33:21 pm,0.100,0.50,0.01,0.03,05/06/2022 02:36:13 pm,0.100,0.49,0.29,0.43,05/06/2022 02:36:52 pm,0.020,0.48,-0.24,0.49
05/06/2022 02:33:21 pm,0.150,0.50,0.01,0.01,05/06/2022 02:36:13 pm,0.150,0.51,0.30,-0.24,05/06/2022 02:36:52 pm,0.030,0.48,-0.23,0.92
05/06/2022 02:33:21 pm,0.200,0.50,0.01,-0.01,05/06/2022 02:36:13 pm,0.200,0.52,0.27,-0.90,05/06/2022 02:36:52 pm,0.040,0.48,-0.22,1.19
05/06/2022 02:33:21 pm,0.250,0.50,0.01,-0.02,05/06/2022 02:36:13 pm,0.250,0.54,0.21,-1.45,05/06/2022 02:36:52 pm,0.050,0.48,-0.21,1.24
05/06/2022 02:33:21 pm,0.300,0.50,0.01,-0.04,05/06/2022 02:36:13 pm,0.300,0.55,0.12,-1.74,05/06/2022 02:36:52 pm,0.060,0.47,-0.19,1.24
05/06/2022 02:33:21 pm,0.350,0.50,0.00,-0.05,05/06/2022 02:36:13 pm,0.350,0.55,0.02,-1.75,05/06/2022 02:36:52 pm,0.070,0.47,-0.18,1.28
05/06/2022 02:33:21 pm,0.400,0.50,6.40E-4,-0.05,05/06/2022 02:36:13 pm,0.400,0.55,-0.07,-1.57,05/06/2022 02:36:52 pm,0.080,0.47,-0.17,1.38
05/06/2022 02:33:21 pm,0.450,0.50,0.00,-0.04,05/06/2022 02:36:13 pm,0.450,0.54,-0.14,-1.30,05/06/2022 02:36:52 pm,0.090,0.47,-0.15,1.43
05/06/2022 02:33:21 pm,0.500,0.50,0.00,-0.03,05/06/2022 02:36:13 pm,0.500,0.53,-0.20,-1.00,05/06/2022 02:36:52 pm,0.100,0.47,-0.14,1.47
05/06/2022 02:33:21 pm,0.550,0.50,-0.01,-0.03,05/06/2022 02:36:13 pm,0.550,0.52,-0.24,-0.65,05/06/2022 02:36:52 pm,0.110,0.47,-0.13,1.58
05/06/2022 02:33:21 pm,0.600,0.50,-0.01,-0.02,05/06/2022 02:36:13 pm,0.600,0.51,-0.27,-0.21,05/06/2022 02:36:52 pm,0.120,0.47,-0.11,1.60
05/06/2022 02:33:21 pm,0.650,0.50,-0.01,-0.01,05/06/2022 02:36:13 pm,0.650,0.49,-0.26,0.30,05/06/2022 02:36:52 pm,0.130,0.46,-0.09,1.45
05/06/2022 02:33:21 pm,0.700,0.50,-0.01,0.01,05/06/2022 02:36:13 pm,0.700,0.48,-0.24,0.83,05/06/2022 02:36:52 pm,0.140,0.46,-0.08,1.31
05/06/2022 02:33:21 pm,0.750,0.50,-0.01,0.02,05/06/2022 02:36:13 pm,0.750,0.47,-0.18,1.26,05/06/2022 02:36:52 pm,0.150,0.46,-0.07,1.48
05/06/2022 02:33:21 pm,0.800,0.50,-0.01,0.03,05/06/2022 02:36:13 pm,0.800,0.46,-0.10,1.55,05/06/2022 02:36:52 pm,0.160,0.46,-0.05,1.89
05/06/2022 02:33:21 pm,0.850,0.50,0.00,0.04,05/06/2022 02:36:13 pm,0.850,0.46,-0.02,1.65,05/06/2022 02:36:52 pm,0.170,0.46,-0.03,2.12
05/06/2022 02:33:21 pm,0.900,0.50,0.00,0.05,05/06/2022 02:36:13 pm,0.900,0.46,0.07,1.58,05/06/2022 02:36:52 pm,0.180,0.46,-0.01,1.99
05/06/2022 02:33:21 pm,0.950,0.50,0.00,0.05,05/06/2022 02:36:13 pm,0.950,0.47,0.15,1.35,05/06/2022 02:36:52 pm,0.190,0.46,0.01,1.73
05/06/2022 02:33:22 pm,1.000,0.50,0.00,0.04,05/06/2022 02:36:14 pm,1.000,0.48,0.21,1.00,05/06/2022 02:36:52 pm,0.200,0.46,0.03,1.66
05/06/2022 02:33:22 pm,1.050,0.50,0.01,0.03,05/06/2022 02:36:14 pm,1.050,0.49,0.25,0.56,05/06/2022 02:36:52 pm,0.210,0.46,0.04,1.77
05/06/2022 02:33:22 pm,1.100,0.50,0.01,0.01,05/06/2022 02:36:14 pm,1.100,0.50,0.26,0.09,05/06/2022 02:36:52 pm,0.220,0.46,0.06,1.75
05/06/2022 02:33:22 pm,1.150,0.50,0.01,-0.01,05/06/2022 02:36:14 pm,1.150,0.52,0.26,-0.40,05/06/2022 02:36:52 pm,0.230,0.46,0.08,1.50
05/06/2022 02:33:22 pm,1.200,0.50,0.01,-0.02,05/06/2022 02:36:14 pm,1.200,0.53,0.22,-0.88,05/06/2022 02:36:52 pm,0.240,0.46,0.09,1.32
05/06/2022 02:33:22 pm,1.250,0.50,0.01,-0.03,05/06/2022 02:36:14 pm,1.250,0.54,0.17,-1.28,05/06/2022 02:36:52 pm,0.250,0.47,0.10,1.41
05/06/2022 02:33:22 pm,1.300,0.50,0.00,-0.04,05/06/2022 02:36:14 pm,1.300,0.55,0.09,-1.54,05/06/2022 02:36:52 pm,0.260,0.47,0.12,1.58
05/06/2022 02:33:22 pm,1.350,0.50,0.00,-0.04,05/06/2022 02:36:14 pm,1.350,0.55,0.01,-1.63,05/06/2022 02:36:52 pm,0.270,0.47,0.14,1.58
05/06/2022 02:33:22 pm,1.400,0.50,0.00,-0.04,05/06/2022 02:36:14 pm,1.400,0.55,-0.08,-1.59,05/06/2022 02:36:52 pm,0.280,0.47,0.15,1.53
